               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.032253,            0.011318,            0.006377,             0.93366,             0.92838,             0.98874,              0.6183,            0.025636,           0.0060517,           0.0045229,             0.00307,             0.00307,             0.00307
                  37,            0.030644,            0.011035,           0.0077319,             0.91217,             0.96155,             0.98552,             0.65739,            0.023577,           0.0059708,           0.0045441,            0.002872,            0.002872,            0.002872
                  38,            0.030747,            0.011238,           0.0067646,             0.94061,             0.98299,             0.99099,             0.68017,            0.022423,           0.0058898,           0.0041446,            0.002674,            0.002674,            0.002674
                  39,            0.030031,            0.010138,           0.0059617,             0.97574,             0.97412,             0.99475,             0.67937,            0.025101,           0.0059846,           0.0033709,            0.002476,            0.002476,            0.002476
                  40,            0.029398,             0.01071,           0.0047794,             0.97129,             0.97905,             0.99494,             0.67299,            0.023014,           0.0058665,           0.0030119,            0.002278,            0.002278,            0.002278
                  41,             0.02787,            0.010906,           0.0057213,             0.98673,                   1,               0.995,             0.67193,            0.022969,           0.0056895,           0.0027093,             0.00208,             0.00208,             0.00208
                  42,            0.027976,            0.010968,           0.0057167,             0.98846,             0.99981,               0.995,             0.71622,            0.021511,            0.005556,           0.0024809,            0.001882,            0.001882,            0.001882
                  43,            0.026769,           0.0097662,           0.0059962,             0.98211,             0.98952,             0.99456,             0.71182,            0.020968,           0.0055316,           0.0024429,            0.001684,            0.001684,            0.001684
                  44,            0.026979,            0.011495,           0.0052136,             0.97504,             0.99242,             0.99441,             0.72206,            0.021359,           0.0055029,           0.0021959,            0.001486,            0.001486,            0.001486
                  45,            0.027446,             0.01092,             0.00572,             0.98636,             0.99597,             0.99485,              0.7191,            0.019927,           0.0054653,           0.0018797,            0.001288,            0.001288,            0.001288
                  46,            0.026247,            0.010406,           0.0047523,             0.97973,                   1,             0.99456,              0.7309,            0.020489,           0.0054468,           0.0017061,             0.00109,             0.00109,             0.00109
                  47,            0.025486,             0.01064,           0.0051134,             0.97498,              0.9953,              0.9947,             0.73795,            0.019743,           0.0053537,           0.0015864,            0.000892,            0.000892,            0.000892
                  48,            0.024119,            0.010773,           0.0042971,             0.97949,             0.98644,              0.9947,              0.7431,            0.018693,           0.0052983,           0.0015237,            0.000694,            0.000694,            0.000694
                  49,            0.026544,            0.010336,           0.0048695,             0.98033,             0.98624,             0.99464,             0.75974,            0.018054,           0.0052777,           0.0015036,            0.000496,            0.000496,            0.000496
